ResumeText,Selected
Senior software engineer with 5 years experience in C# .NET Core and SQL Server. Led development of enterprise applications using ASP.NET MVC and Web API. Expert in microservices architecture and cloud deployment with Azure.,true
Full-stack developer with 4 years experience in JavaScript React Node.js and MongoDB. Built scalable web applications and RESTful APIs. Proficient in Docker and Kubernetes for containerization.,true
Java developer with 3 years experience in Spring Boot Hibernate and microservices. Developed high-performance backend systems and contributed to open-source projects.,true
Python developer with 3 years experience in Django Flask and data science libraries. Built machine learning models and data pipelines. Experienced in AWS services and PostgreSQL.,true
DevOps engineer with 4 years experience in CI/CD pipelines infrastructure as code and cloud platforms. Expert in Jenkins Docker Kubernetes and Terraform.,true
Mobile app developer with 2 years experience in React Native and Flutter. Published multiple apps on iOS and Android stores. Proficient in Firebase integration.,true
Data engineer with 3 years experience in ETL processes data warehousing and big data technologies. Expert in Apache Spark Hadoop and real-time data streaming.,true
Frontend developer with 2 years experience in React Angular and Vue.js. Created responsive web applications with modern UI/UX design. Proficient in TypeScript Webpack.,true
Backend developer with 2 years experience in Node.js Express and GraphQL. Developed RESTful APIs and real-time applications using WebSockets. Experienced in MongoDB Redis.,true
Machine learning engineer with 3 years experience in TensorFlow PyTorch and scikit-learn. Built and deployed ML models for production environments.,true
Software engineer with 2 years experience in .NET development. Built web applications using ASP.NET Core and Entity Framework. Good understanding of design patterns.,true
React developer with 1 year experience in frontend development. Built single-page applications with React Redux and TypeScript. Experienced in responsive design.,true
Angular developer with 1 year experience in building enterprise web applications. Proficient in Angular TypeScript and RxJS. Developed complex forms and components.,true
PHP developer with 2 years experience in Laravel and Symfony frameworks. Developed RESTful APIs and e-commerce platforms. Experienced in MySQL database design.,true
Ruby on Rails developer with 1 year experience in web application development. Built scalable applications following MVC architecture. Proficient in PostgreSQL.,true
Go developer with 1 year experience in backend development and microservices. Built high-performance APIs and concurrent systems. Knowledge of gRPC.,true
Kotlin developer with 1 year experience in Android app development. Published multiple apps on Google Play Store. Proficient in Android SDK.,true
